Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
SGDRegressor,3.128764353574924e+19,-7.082697327872904e+20,247684893663.8511,0.11109519004821777
OrthogonalMatchingPursuit,7.494869496358536,-146.026716071413,112.84915376922632,0.08398962020874023
KernelRidge,2.090167989312565,-23.678528109713007,46.23382289472012,0.057619571685791016
GaussianProcessRegressor,1.985173080754072,-21.301720289597668,43.951060680969555,0.22090411186218262
ExtraTreeRegressor,1.0843115045552014,-0.9085901031177486,12.857499376526965,0.2826240062713623
PassiveAggressiveRegressor,1.0716541369916168,-0.6220606835464888,11.853148544908946,0.10604143142700195
DecisionTreeRegressor,1.068130331758649,-0.5422910266243628,11.558017403705007,0.3577289581298828
MLPRegressor,1.0538342771970595,-0.21866605523013516,10.274070356010165,4.59300971031189
TransformedTargetRegressor,1.051397781165556,-0.16351021100049645,10.038880341800247,0.13064217567443848
LinearRegression,1.051397781165556,-0.16351021100049645,10.038880341800247,0.20322346687316895
QuantileRegressor,1.0452837392213452,-0.025104426329351615,9.422892413871448,2.013774871826172
DummyRegressor,1.0447061010540977,-0.012028221664186711,9.362600444194063,0.053383827209472656
Lasso,1.0399148394367876,0.09643330505733516,8.846679330912961,0.14241766929626465
LassoLars,1.0398977434910757,0.09682031218004661,8.844784565083401,0.055025339126586914
ElasticNet,1.0393804846642318,0.10852968782068406,8.78726291335171,0.14844703674316406
NuSVR,1.0375689133259862,0.14953888514800595,8.582768703182532,0.09972143173217773
SVR,1.0366833105350028,0.1695865966801553,8.481005665811937,0.141693115234375
BaggingRegressor,1.0336323407683743,0.23865250568295615,8.120665833297597,4.481662034988403
AdaBoostRegressor,1.0334251003459745,0.24334388227794101,8.095607649335982,3.8331542015075684
KNeighborsRegressor,1.0321902614588376,0.2712973779647756,7.944660520287113,0.1597428321838379
TweedieRegressor,1.0317481605489534,0.2813053765841338,7.889915938582094,0.9627680778503418
LassoCV,1.0310495926509697,0.2971191114176104,7.802630583342312,46.827462673187256
XGBRegressor,1.031034025755432,0.2974715048770342,7.8006743908020955,11.596083879470825
GradientBoostingRegressor,1.0306240704802807,0.3067518111057349,7.748980179012622,24.730735778808594
HistGradientBoostingRegressor,1.030007635797307,0.32070626656645973,7.6705937506158355,11.739193201065063
HuberRegressor,1.0299858371299961,0.3211997309033846,7.6678071415661435,0.8277549743652344
RandomForestRegressor,1.0299298833635742,0.32246637660480626,7.660649712144125,48.15262579917908
ElasticNetCV,1.0296305784573103,0.3292418503070399,7.6222494425883385,79.53390979766846
LinearSVR,1.0291222671507545,0.3407486776862175,7.556586933336449,1.4874231815338135
LGBMRegressor,1.0289698841916939,0.3441982259902274,7.536790992801679,2.7734954357147217
ExtraTreesRegressor,1.0274339664358205,0.37896735321109754,7.334278441947901,13.754791021347046
LassoLarsCV,1.027290936319503,0.3822051778222362,7.315134407909666,2.2683820724487305
PoissonRegressor,1.027231321872902,0.38355469166837675,7.307140433410529,0.8768355846405029
OrthogonalMatchingPursuitCV,1.0271154403811835,0.3861779430193597,7.291576277218828,1.619915246963501
Ridge,1.0222770064152722,0.49570732730263156,6.609087583533924,0.061133384704589844
BayesianRidge,1.0220176073345622,0.5015794383604608,6.570495970681236,0.2597959041595459
RidgeCV,1.0203976810501592,0.5382502971062881,6.324169342374229,0.09666967391967773
