Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
SGDRegressor,1.2517582662178064e+21,-2.83365058066888e+22,1602976455120.2908,0.2601475715637207
KernelRidge,2.034975796865063,-22.429122434527798,46.092684875409624,0.13442659378051758
GaussianProcessRegressor,1.957830804020541,-20.682763255849608,44.34159483480472,0.5481503009796143
OrthogonalMatchingPursuit,1.261564250830661,-4.921124799023755,23.17160426054284,0.17017817497253418
PassiveAggressiveRegressor,1.1104929281442264,-1.5012684832649068,15.060318300649458,0.22754549980163574
DecisionTreeRegressor,1.0733305120595034,-0.6600093938744716,12.269002873980392,1.049539566040039
MLPRegressor,1.069303648042247,-0.5688518128244937,11.92737729278174,10.868700742721558
ExtraTreeRegressor,1.0613274271073363,-0.38829120704519315,11.220036813083835,0.3056187629699707
TransformedTargetRegressor,1.0474011684476958,-0.07303743958520159,9.8641900937018,0.29101991653442383
LinearRegression,1.0474011684476958,-0.07303743958520159,9.8641900937018,0.29004740715026855
QuantileRegressor,1.0461159667205766,-0.043943862026240676,9.72954582593973,3.7337348461151123
DummyRegressor,1.0457696834766228,-0.036104922657614225,9.692947576445276,0.11940979957580566
BaggingRegressor,1.0415881347639357,0.05855431193728067,9.23956724706539,10.1455557346344
Lasso,1.0397791719922278,0.09950445819791987,9.036386100295553,0.33692455291748047
LassoLars,1.039774893510127,0.0996013117487744,9.035900129197017,0.17438769340515137
ElasticNet,1.0379653754956548,0.14056402724121997,8.827968181676553,0.46012091636657715
NuSVR,1.0376511843940788,0.14767648514502973,8.791363361989053,0.3026442527770996
SVR,1.0369412921948389,0.16374657229265654,8.708090839759498,0.32595372200012207
AdaBoostRegressor,1.0338152487207453,0.23451195203587616,8.33150007260425,10.49193525314331
HistGradientBoostingRegressor,1.0332615074352112,0.24704719432379207,8.263002293604265,20.037572145462036
LGBMRegressor,1.032687596518441,0.26003902386826083,8.191405090192932,2.8082640171051025
RandomForestRegressor,1.0310505363967524,0.29709774750208895,7.98364951230489,88.70869326591492
ExtraTreesRegressor,1.030791928247232,0.3029519539637615,7.950333602872055,17.953901767730713
TweedieRegressor,1.0304055640099696,0.31169822131277525,7.900297418664049,1.3987758159637451
GammaRegressor,1.0300901226602397,0.31883898153743007,7.859209910387379,0.8418078422546387
XGBRegressor,1.0296415452199221,0.3289935917248392,7.80040818346368,17.751608848571777
KNeighborsRegressor,1.02898014626375,0.3439659197436806,7.712891035820147,0.14731454849243164
HuberRegressor,1.0283466059903081,0.3583076006589595,7.628118709614373,1.6693596839904785
LassoCV,1.028018328489305,0.3657389374948562,7.583820072143919,155.78237080574036
GradientBoostingRegressor,1.0279886862933456,0.3664099586341535,7.579807331524073,48.99909043312073
ElasticNetCV,1.0274571530328338,0.3784424698061791,7.507488256091342,169.62573671340942
LassoLarsCV,1.027304942948678,0.3818881046782795,7.486650270856821,5.827003240585327
PoissonRegressor,1.0244767872504064,0.4459100908149789,7.088333064932988,1.5010089874267578
LinearSVR,1.02352058547655,0.4675559771242557,6.948498584682476,2.700244188308716
BayesianRidge,1.022886214304713,0.4819164673878128,6.854154497893507,0.573169469833374
Ridge,1.017697918054899,0.599365811064922,6.027372042302521,0.18409967422485352
OrthogonalMatchingPursuitCV,1.016414061269348,0.6284289426938812,5.804635244807167,3.576868772506714
RidgeCV,1.014408612246777,0.6738270194685618,5.438485643688088,0.19471049308776855
